tract_fips,population,lat,lon,California County,nearest_station_km,access_all_5km,access_nevi_5km,gini_all_5km,gini_nevi_5km,access_all_5km_pct,access_nevi_5km_pct
6037102105,1905,34.2098714,-118.3492638,Los Angeles,0.609552786,0.009892266,1.30E-05,0.998590936,0.999997162,0.958920188,0.715962441
6037104103,3431,34.2820993,-118.3925764,Los Angeles,1.053740564,0.009789871,1.30E-05,0.998590936,0.999997162,0.957746479,0.715962441
6037104105,6054,34.2761482,-118.4046862,Los Angeles,0.669024076,0.009989639,1.30E-05,0.998590936,0.999997162,0.960093897,0.715962441
6037104108,6001,34.2731497,-118.3985703,Los Angeles,0.406194855,0.009168692,1.30E-05,0.998590936,0.999997162,0.954225352,0.715962441
6037104201,4569,34.2865005,-118.4160998,Los Angeles,0.82166946,0.008868812,1.30E-05,0.998590936,0.999997162,0.948356808,0.715962441
6037104203,5441,34.2790581,-118.4115543,Los Angeles,0.63962327,0.009015418,1.30E-05,0.998590936,0.999997162,0.951877934,0.715962441
6037104204,3679,34.2912875,-118.3931176,Los Angeles,1.440734585,0.008558604,1.30E-05,0.998590936,0.999997162,0.938967136,0.715962441
6037104310,4962,34.2763731,-118.4292815,Los Angeles,0.598220139,0.008313557,1.30E-05,0.998590936,0.999997162,0.931924883,0.715962441
6037104320,5292,34.2731324,-118.4202492,Los Angeles,0.409326147,0.007142295,1.30E-05,0.998590936,0.999997162,0.915492958,0.715962441
6037104401,3270,34.2670388,-118.4327217,Los Angeles,1.01798021,0.006778457,1.30E-05,0.998590936,0.999997162,0.907276995,0.715962441
6037104403,3341,34.2587738,-118.4344849,Los Angeles,0.731955744,0.007695575,1.30E-05,0.998590936,0.999997162,0.922535211,0.715962441
6037104404,3084,34.2639207,-118.4286916,Los Angeles,0.536303824,0.007238584,1.30E-05,0.998590936,0.999997162,0.919014085,0.715962441
6037104500,3025,34.2555108,-118.4257479,Los Angeles,0.442230906,0.008830613,1.30E-05,0.998590936,0.999997162,0.947183099,0.715962441
6037104610,3386,34.2604355,-118.4189927,Los Angeles,0.704382213,0.00477971,1.30E-05,0.998590936,0.999997162,0.821596244,0.715962441
6037104620,3528,34.2579043,-118.4224647,Los Angeles,0.412892471,0.004790261,1.30E-05,0.998590936,0.999997162,0.822769953,0.715962441
6037104701,4402,34.2684745,-118.415214,Los Angeles,0.657373951,0.004533957,1.30E-05,0.998590936,0.999997162,0.811032864,0.715962441
6037104703,2174,34.2552325,-118.4005905,Los Angeles,0.510208871,0.004107573,1.30E-05,0.998590936,0.999997162,0.791079812,0.715962441
6037104704,4321,34.2625316,-118.4088637,Los Angeles,0.63271158,0.005634268,1.30E-05,0.998590936,0.999997162,0.870892019,0.715962441
6037104810,5631,34.2502996,-118.4111792,Los Angeles,1.03125504,0.005750517,1.30E-05,0.998590936,0.999997162,0.874413146,0.715962441
6037104821,3551,34.2465705,-118.4162955,Los Angeles,0.433909263,0.005890733,1.30E-05,0.998590936,0.999997162,0.883802817,0.715962441
6037104822,2839,34.2458338,-118.4209236,Los Angeles,0.021919057,0.005774283,1.30E-05,0.998590936,0.999997162,0.876760563,0.715962441
6037106407,3119,34.3105742,-118.4365572,Los Angeles,0.113783399,0.0387451,0,0.998590936,0.999997162,0.988262911,0.328638498
6037106510,5618,34.326405,-118.4795847,Los Angeles,1.227180153,0.010911807,0,0.998590936,0.999997162,0.96713615,0.328638498
6037106520,5920,34.3088574,-118.4613524,Los Angeles,0.747450712,0.004132401,1.30E-05,0.998590936,0.999997162,0.794600939,0.715962441
6037106604,5068,34.3033292,-118.4745764,Los Angeles,0.545217327,0.003710558,1.30E-05,0.998590936,0.999997162,0.769953052,0.715962441
6037106648,4546,34.2930983,-118.4558345,Los Angeles,0.671800522,0.007083635,0,0.998590936,0.999997162,0.911971831,0.328638498
6037109100,2797,34.2771693,-118.4631511,Los Angeles,0.358312312,0.005489417,1.30E-05,0.998590936,0.999997162,0.862676056,0.715962441
6037109500,4832,34.2703268,-118.4389293,Los Angeles,1.123627282,0.012527133,0,0.998590936,0.999997162,0.970657277,0.328638498
6037113233,7345,34.2269621,-118.6012203,Los Angeles,0.196845166,0.012324703,0,0.998590936,0.999997162,0.969483568,0.328638498
6037113401,6550,34.2272273,-118.5626938,Los Angeles,0.849218708,0.009307636,0,0.998590936,0.999997162,0.955399061,0.328638498
6037113421,6879,34.2335792,-118.5830621,Los Angeles,0.332257952,0.006070778,0,0.998590936,0.999997162,0.889671362,0.328638498
6037113422,6306,34.2242131,-118.5809624,Los Angeles,0.447750946,0.003214857,0,0.998590936,0.999997162,0.71713615,0.328638498
6037115104,4377,34.2374909,-118.5226461,Los Angeles,0.169159846,0.002909073,0,0.998590936,0.999997162,0.67370892,0.328638498
6037115202,5684,34.2332349,-118.5376549,Los Angeles,0.371273203,0.002709281,1.30E-05,0.998590936,0.999997162,0.65258216,0.715962441
6037115302,3957,34.2259651,-118.5503049,Los Angeles,0.348718871,0.002508906,0,0.998590936,0.999997162,0.626760563,0.328638498
6037115401,6373,34.2248079,-118.515127,Los Angeles,0.600774801,0.001636648,0,0.998590936,0.999997162,0.450704225,0.328638498
6037115403,3583,34.2247342,-118.5317299,Los Angeles,0.403853636,0.001418801,0,0.998590936,0.999997162,0.388497653,0.328638498
6037115404,2800,34.2255624,-118.5416703,Los Angeles,0.290888495,0.002409214,0,0.998590936,0.999997162,0.606807512,0.328638498
